Phenotype,Pearson Correlation,p-value
全长-1,0.9990272049946086,3.958709392269944e-53
体长-2,0.995166344840613,6.486803709638974e-40
头长-3,0.9546052806254668,1.3852879771327271e-21
吻长-4,0.9839025608054699,4.9790594640158996e-30
 眼径-5,0.6501567306044811,5.61001161477111e-06
眼后头长-6,0.8593361476575974,1.27212028162111e-12
体高-7,0.5783987065354115,9.262328418403122e-05
头高-8,0.9143301367178847,1.6905804157706413e-16
腹臀鳍基距-9,0.8932363149393407,9.171780921063646e-15
尾柄高-10,0.4020685090319066,0.010116459733548544
尾柄长-11,0.9193299289379682,5.638082497402111e-17
背鳍基长-12,0.9122211707128518,2.6336429366771226e-16
胸鳍长-13,0.2931209371677384,0.06641289785189607
腹鳍长-14,0.920869433518974,3.9633977573705236e-17
臀鳍基长-15,0.8875368508257405,2.340626701524721e-14
尾鳍长-16,0.9073812962989429,6.993408362069739e-16
 背鳍前距-17,0.9601946117767475,1.1981132148404545e-22
背鳍后距-18,0.9242193465072692,1.794843955181421e-17
 胸背鳍距-19,0.9311644328349649,3.0727417581322025e-18
胸腹鳍距-20,0.8662490324344798,5.200790068326327e-13
腹背鳍距-21,0.818826420817498,1.0731152366731476e-10
臀鳍长-22,0.806355349564399,3.383484071451321e-10
背鳍长-23,0.8764991832479261,1.2547783058364704e-13
