Phenotype,R-squared
全长-1,0.9980802462929339
体长-2,0.9928781002302965
头长-3,0.9154737000063287
吻长-4,0.9656117642141477
 眼径-5,0.31187786214228896
眼后头长-6,0.742151580259675
体高-7,0.19949376348707193
头高-8,0.850026711761961
腹臀鳍基距-9,0.8488746246192821
尾柄高-10,0.9413240710889847
尾柄长-11,0.22599989419764266
背鳍基长-12,0.794323105662615
胸鳍长-13,0.8245388646243941
腹鳍长-14,0.8299509359278353
臀鳍基长-15,0.7390544815370608
尾鳍长-16,0.8568839302772574
 背鳍前距-17,0.8954289569721452
背鳍后距-18,0.8593327205850098
 胸背鳍距-19,0.7577178343635607
胸腹鳍距-20,0.7485544417602407
腹背鳍距-21,0.8730451335128138
臀鳍长-22,0.7133667870229893
背鳍长-23,0.7315301906083023
